variant,n_vox,mean,median,p10,p90,pct_in_window
Real D2 (pooled),37525,0.49918878078460693,0.4622153341770172,0.2685540020465851,0.8017124533653259,10.0599600266489
real / D2-016,16035,0.48036253452301025,0.44642752408981323,0.2812284529209137,0.7353585362434387,11.113189897100094
real / D2-017,11415,0.489652544260025,0.46455109119415283,0.2954631745815277,0.7175489068031311,8.252299605781864
real / D2-024,10075,0.5399564504623413,0.502162754535675,0.20739537477493286,1.0,10.431761786600497
1c SPADE (Phase 1) (pooled),54360,0.2031213641166687,0.16885456442832947,0.0583442747592926,0.39665621519088745,15.057027225901399
1c SPADE (Phase 1) / D2-900,5179,0.20712576806545258,0.1861669421195984,0.10198687016963959,0.3454967141151428,20.66035914269164
1c SPADE (Phase 1) / D2-901,15884,0.19509747624397278,0.16133244335651398,0.07663379609584808,0.3626142740249634,14.473684210526317
1c SPADE (Phase 1) / D2-902,33297,0.20632624626159668,0.16891659796237946,0.04912494122982025,0.4153915345668793,14.463765504399795
exp2 (Phase 2) (pooled),27674,0.3071381747722626,0.307935893535614,0.13032031059265137,0.48095497488975525,26.089470260894704
exp2 (Phase 2) / D2-900,12962,0.35078924894332886,0.35109779238700867,0.23648306727409363,0.47776296734809875,22.141644807900015
exp2 (Phase 2) / D2-901,6734,0.17568543553352356,0.1749209761619568,0.01944698952138424,0.3079650402069092,24.27977427977428
exp2 (Phase 2) / D2-902,7978,0.3471730351448059,0.31978559494018555,0.22350041568279266,0.5296139121055603,34.03108548508398
