seed,subject_id,gt_present_volume,n_gt_pos_slices,n_fired_slices,n_true_pos_slices,n_false_pos_slices,n_false_neg_slices,max_prob,mean_prob_gt_slices
0,D2-005,1,3,13,3,10,0,0.9918408393859863,0.98116135597229
0,D2-015,1,2,5,2,3,0,0.95195072889328,0.8312327861785889
0,D2-016,1,3,0,0,0,3,0.5425876975059509,0.4743715822696686
0,D2-017,1,5,2,2,0,3,0.8551636338233948,0.5949046015739441
0,D2-023,1,6,5,5,0,1,0.875715434551239,0.7169733047485352
0,D2-024,1,6,0,0,0,6,0.5712214708328247,0.2492353767156601
0,D2-026,1,6,8,6,2,0,0.9830678105354309,0.9200658798217773
0,D2-038,1,5,5,4,1,1,0.7250868082046509,0.6362944841384888
1,D2-005,1,3,12,3,9,0,0.9748271703720093,0.9534854292869568
1,D2-015,1,2,3,1,2,1,0.7941689491271973,0.6551245450973511
1,D2-016,1,3,5,3,2,0,0.8064693808555603,0.6878108382225037
1,D2-017,1,5,5,5,0,0,0.82990562915802,0.6883519887924194
1,D2-023,1,6,5,4,1,2,0.7969486117362976,0.6648381948471069
1,D2-024,1,6,2,0,2,6,0.7722094058990479,0.4196900427341461
1,D2-026,1,6,8,6,2,0,0.9325417876243591,0.8749646544456482
1,D2-038,1,5,5,4,1,1,0.8799505233764648,0.7469840049743652
2,D2-005,1,3,11,3,8,0,0.9220763444900513,0.896270751953125
2,D2-015,1,2,5,2,3,0,0.8408756852149963,0.7828373908996582
2,D2-016,1,3,2,1,1,2,0.7300719022750854,0.5847399234771729
2,D2-017,1,5,2,2,0,3,0.6766368746757507,0.5471409559249878
2,D2-023,1,6,2,2,0,4,0.7298319339752197,0.5844536423683167
2,D2-024,1,6,0,0,0,6,0.3786980211734772,0.18469218909740448
2,D2-026,1,6,8,6,2,0,0.8693689703941345,0.7882558703422546
2,D2-038,1,5,0,0,0,5,0.5441914796829224,0.42848071455955505
3,D2-005,1,3,14,3,11,0,0.994814395904541,0.9911338686943054
3,D2-015,1,2,7,2,5,0,0.998245358467102,0.9968618154525757
3,D2-016,1,3,4,3,1,0,0.7571742534637451,0.7348658442497253
3,D2-017,1,5,4,4,0,1,0.9515218138694763,0.7098938226699829
3,D2-023,1,6,4,4,0,2,0.8093798160552979,0.6195467710494995
3,D2-024,1,6,0,0,0,6,0.373060941696167,0.24726025760173798
3,D2-026,1,6,11,6,5,0,0.993694007396698,0.9786264300346375
3,D2-038,1,5,5,3,2,2,0.6678888201713562,0.6203376054763794
4,D2-005,1,3,14,3,11,0,0.9923740029335022,0.9882588386535645
4,D2-015,1,2,9,2,7,0,0.9860187768936157,0.9739053249359131
4,D2-016,1,3,2,1,1,2,0.7358534932136536,0.5551068782806396
4,D2-017,1,5,4,3,1,2,0.8795254826545715,0.6640673279762268
4,D2-023,1,6,6,5,1,1,0.9096725583076477,0.7777833938598633
4,D2-024,1,6,0,0,0,6,0.415507048368454,0.16431640088558197
4,D2-026,1,6,10,6,4,0,0.9913557171821594,0.9512219429016113
4,D2-038,1,5,1,0,1,5,0.6105595231056213,0.48982539772987366
