variant,stage,n_volumes,ovary_mean,ovary_sd,in_window_pct
real_d2,-,30,0.507971445719401,0.08280307527317754,8.89115216468008
real_d2_mech3,-,3,0.5028929809729258,0.0313248005885808,10.051388556061454
exp1c_concat,post_rescale,31,0.21061792008338437,0.011711017763806297,19.246220483937336
exp1c_concat_fixed,post_rescale,31,0.26263514882133854,0.05493835005725847,52.989545219249536
exp1c_spade,post_rescale,32,0.20622914005070925,0.011873606701390777,20.922286904517463
exp1c_spade_fixed,post_rescale,32,0.2839179397560656,0.10327392327656428,21.08451676036042
exp1c_spade_t022,post_rescale,32,0.16650167852640152,0.013425098301761624,14.263833471145468
exp1c_spade_t028,post_rescale,32,0.2266934411600232,0.011221990812420136,23.213483021359956
exp2,post_rescale,32,0.32248145854100585,0.07824775915773105,20.32364307879757
exp2_fixed,post_rescale,32,0.32668311800807714,0.06252405372740337,9.324537856721307
exp2_lam05,post_rescale,32,0.32248145854100585,0.07824775915773105,20.32364307879757
exp2_lam05_fixed,post_rescale,32,0.3247070633806288,0.08009990738125301,13.248043863156092
exp2_lam50,post_rescale,32,0.32248145854100585,0.07824775915773105,20.32364307879757
exp2_lam50_fixed,post_rescale,32,0.30808918084949255,0.07100620090492835,10.291088392636167
